#
# x265 --input FourPeople_1280x720_60.y4m -o out.h265
#
----------------------------------------------------------------------
Threads summary [ 8 thread(s) ]
----------------------------------------------------------------------
name                   inc%  exc%        fps   call/sec call/fr   cpu%
    estCostSingle       0.2   0.2    16841.0      213.9    0.01  125.3
    estCostSingle       0.3   0.3    10075.3      127.9    0.01  124.9
    estCostSingle       0.2   0.2    16019.2      203.4    0.01  119.2
    estCostSingle       0.2   0.2    17847.7      226.6    0.01   88.5
    estCostSingle       0.2   0.2    19932.7      253.1    0.01   98.9
    estCostSingle       0.2   0.2    20491.8      227.7    0.01   50.8
    estCostSingle       0.2   0.2    21360.0      237.3    0.01  106.0
    estCostSingle       0.1   0.1    28706.6      319.0    0.01  284.8
    estCostSingle       0.1   0.1    26300.0      250.5    0.01    0.0
    estCostSingle       0.1   0.1    23676.6      225.5    0.01  117.4
    estCostSingle       0.1   0.1    28861.2      274.9    0.01   71.6
    estCostSingle       0.0   0.0    76029.1      120.7    0.00  188.6
    estCostSingle       0.0   0.0    86476.7      137.3    0.00    0.0
    estCostSingle       0.0   0.0   170353.1      270.4    0.00    0.0
    estCostSingle       0.0   0.0   538507.6      854.8    0.00 1335.6
    estCostSingle       0.0   0.0  3271028.0     5192.1    0.00    0.0
    estCostSingle       0.0   0.0   438138.9      695.5    0.00    0.0
    estCostSingle       0.0   0.0  3178607.5     5045.4    0.00    0.0
    estCostSingle       0.0   0.0   515548.3      818.3    0.00    0.0
    estCostSingle       0.0   0.0   567158.8      900.3    0.00    0.0
    estCostSingle       0.0   0.0   567056.7      900.1    0.00    0.0
    estCostSingle       0.0   0.0  3315789.8     5263.2    0.00    0.0
    estCostSingle       0.0   0.0   541330.1      859.3    0.00    0.0
    estCostSingle       0.0   0.0   588510.1      934.1    0.00    0.0
    estCostSingle       0.0   0.0   461234.4      732.1    0.00    0.0
    estCostSingle       0.0   0.0   548350.6      870.4    0.00    0.0
    estCostSingle       0.0   0.0   565174.5      897.1    0.00    0.0
    estCostSingle       0.0   0.0  3444505.5     5467.5    0.00    0.0
    estCostSingle       0.0   0.0   377358.5      599.0    0.00    0.0
